circ_id	SRR1297303	SRR1297304	SRR1297305	SRR1297306	SRR1297307	SRR1297308	SRR1297309	SRR1297310	SRR1297311	SRR1297312	SRR1297313	SRR1297314	SRR1297315	SRR1297316	SRR1297317
10:120880825-120890009	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
10:12094072-12120267	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12117672-12120267	2	1	1	1	0	0	0	1	0	0	0	0	0	0	1
10:12118748-12120267	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
10:12118748-12123305	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
10:121538591-121565704	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
10:121564501-121565704	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
10:121790168-121924329	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
10:122132608-122143706	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:12215739-12238485	0	1	0	1	0	0	0	0	0	3	1	0	2	0	0
10:12249580-12250469	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
10:122570889-122572361	0	4	1	1	1	3	0	0	0	0	3	1	0	0	1
10:122570889-122573762	0	0	0	3	1	3	0	0	0	0	0	0	0	1	0
10:122572313-122573762	4	3	5	9	4	4	0	2	0	0	3	1	3	0	5
10:122579577-122581825	1	1	2	3	1	0	1	1	0	1	2	2	1	0	1
10:122579577-122585309	0	0	0	3	0	2	0	0	0	0	0	0	1	2	1
10:122579577-122601023	0	0	0	3	0	0	1	1	0	0	1	0	2	1	0
10:122580865-122582923	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
10:122580865-122599097	14	0	15	10	0	3	0	17	1	6	1	0	1	3	1
10:122618016-122620291	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
10:124038514-124046724	2	0	3	3	0	1	0	1	1	6	1	2	2	0	0
10:124408541-124408965	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10:124408541-124412200	0	2	2	2	0	0	0	2	1	0	0	3	0	2	0
10:124488421-124498128	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1
10:124681606-124682379	3	3	2	11	3	1	0	7	5	8	3	1	2	3	3
10:124681606-124696212	0	0	0	1	1	1	0	3	2	0	0	1	0	0	4
10:124706635-124706887	1	0	0	0	0	2	0	0	1	0	2	0	1	0	0
10:124774674-124790338	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
10:124940373-124943307	3	3	2	0	0	0	1	0	0	1	1	0	0	2	1
10:124942456-124943307	1	5	7	5	0	1	2	3	2	6	3	1	3	2	0
10:124942456-124962408	0	0	1	0	0	1	0	1	3	0	1	0	0	0	0
10:124942456-124966781	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
10:125038996-125074843	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1
10:125038996-125088319	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
10:125038996-125111093	3	2	2	1	0	2	2	0	1	1	5	0	1	4	1
10:125038996-125133612	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0
10:125743057-125749565	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
